date,household_employment_total,household_employment_total_sa,household_employment_total_sa_stl,household_employment_seasonal_factor_stl,household_sa_gap_official_vs_stl,household_sa_gap_pct_official_vs_stl,household_employment_total_sa_stl_chained,household_employment_total_sa_spliced_chain,household_employment_total_sa_spliced,employment_blended_level
1975-01-01,3181.0,,3240.088479822124,0.9817633128878722,,,3254.1438550058824,3254.1438550058824,3254.1438550058824,
1975-04-01,3173.0,,3066.630735971795,1.0346860359744277,,,3079.9336583495488,3079.9336583495488,3079.9336583495488,
1975-07-01,3112.0,,3063.5098030044596,1.0158283146174316,,,3076.799186898912,3076.799186898912,3076.799186898912,
1975-10-01,2965.0,,3057.534753375881,0.9697355023442616,,,3070.7982177422728,3070.7982177422728,3070.7982177422728,
1976-01-01,3006.0,,3054.3485802662517,0.9841705754940273,,,3067.5982231401954,3067.5982231401954,3067.5982231401954,
1976-04-01,3058.0,,2970.8438648034116,1.0293371645104463,,,2983.731267537077,2983.731267537077,2983.731267537077,
1976-07-01,3060.0,,3011.037298897378,1.0162610742552245,,,3024.0990591523378,3024.0990591523378,3024.0990591523378,
1976-10-01,2951.0,,3036.182887838319,0.971944085391059,,,3049.3537286597452,3049.3537286597452,3049.3537286597452,
1977-01-01,3002.0,,3043.0670824994195,0.986504706802031,,,3056.2677866839613,3056.2677866839613,3056.2677866839613,
1977-04-01,3066.0,,2993.0606284657506,1.024369493501252,,,3006.0444066381083,3006.0444066381083,3006.0444066381083,
1977-07-01,3080.0,,3028.3445355770036,1.0170573274659298,,,3041.4813739375277,3041.4813739375277,3041.4813739375277,
1977-10-01,2979.0,,3057.229233390562,0.9744117213926405,,,3070.491372423388,3070.491372423388,3070.491372423388,
1978-01-01,3022.0,,3054.414906365185,0.989387523516325,,,3067.664836959112,3067.664836959112,3067.664836959112,
1978-04-01,3107.0,,3056.907738255689,1.0163865795219897,,,3070.1684826553837,3070.1684826553837,3070.1684826553837,
1978-07-01,3118.0,,3065.7724228842344,1.0170356992991127,,,3079.0716219338924,3079.0716219338924,3079.0716219338924,
1978-10-01,3001.0,,3074.844751963962,0.9759842340278171,,,3088.1833064169678,3088.1833064169678,3088.1833064169678,
1979-01-01,3050.0,,3079.4407453644963,0.9904395804956413,,,3092.799237054398,3092.799237054398,3092.799237054398,
1979-04-01,3133.0,,3080.179698581689,1.0171484480086121,,,3093.5413958213085,3093.5413958213085,3093.5413958213085,
1979-07-01,3158.0,,3101.4850817968254,1.018221889421578,,,3114.939200942941,3114.939200942941,3114.939200942941,
1979-10-01,3038.0,,3118.4629569784474,0.9741978795039434,,,3131.990725473026,3131.990725473026,3131.990725473026,
1980-01-01,3104.0,,3131.4003858597716,0.9912497980189637,,,3144.9842764071805,3144.9842764071805,3144.9842764071805,
1980-04-01,3217.0,,3160.922203529605,1.0177409606626127,,,3174.6341585499567,3174.6341585499567,3174.6341585499567,
1980-07-01,3239.0,,3182.7769758064105,1.0176647702999502,,,3196.5837359611955,3196.5837359611955,3196.5837359611955,
1980-10-01,3103.6863407,,3186.544229357837,0.973997571446064,,,3200.3673317089565,3200.3673317089565,3200.3673317089565,
1981-01-01,3186.7614803,,3212.930086732051,0.9918552207095587,,,3226.8676498848586,3226.8676498848586,3226.8676498848586,
1981-04-01,3282.7874399,,3225.517420465892,1.0177552968930605,,,3239.5095869726797,3239.5095869726797,3239.5095869726797,
1981-07-01,3308.5167832999996,,3253.7408258486466,1.016834763548528,,,3267.855424367427,3267.855424367427,3267.855424367427,
