date,unemployment_rate_sa
1988-01-01,0.73366485
1988-02-01,0.73983803
1988-03-01,0.74181224
1988-04-01,0.74033624
1988-05-01,0.73294719
1988-06-01,0.72605835
1988-07-01,0.71879787
1988-08-01,0.70438374
1988-09-01,0.68582291
1988-10-01,0.66990231
1988-11-01,0.64644732
1988-12-01,0.62383976
1989-01-01,0.56540144
1989-02-01,0.56460631
1989-03-01,0.5525103
1989-04-01,0.56129595
1989-05-01,0.55558515
1989-06-01,0.55634994
1989-07-01,0.55813164
1989-08-01,0.56171526
1989-09-01,0.56274304
1989-10-01,0.55626429
1989-11-01,0.53784091
1989-12-01,0.51700224
1990-01-01,0.39926831
1990-02-01,0.4095256
1990-03-01,0.40759085
1990-04-01,0.41782303
1990-05-01,0.43189631
1990-06-01,0.46353526
1990-07-01,0.48370057
1990-08-01,0.50882431
1990-09-01,0.54314088
1990-10-01,0.57435324
1990-11-01,0.61384055
1990-12-01,0.65238019
1991-01-01,0.66393119
1991-02-01,0.74598957
1991-03-01,0.79878831
1991-04-01,0.86256123
1991-05-01,0.93996663
1991-06-01,1.00271991
1991-07-01,1.07474907
1991-08-01,1.13959333
1991-09-01,1.22304514
1991-10-01,1.31618494
1991-11-01,1.42636409
1991-12-01,1.55348081
1992-01-01,1.6905951
1992-02-01,1.86860866
1992-03-01,1.95894931
1992-04-01,2.08476867
1992-05-01,2.21189285
1992-06-01,2.34755723
1992-07-01,2.50747531
1992-08-01,2.6441881
1992-09-01,2.86975597
1992-10-01,3.0356532
1992-11-01,3.27296074
1992-12-01,3.47105216
1993-01-01,3.59062114
1993-02-01,3.75599072
1993-03-01,3.94971712
1993-04-01,4.144061
1993-05-01,4.31125249
1993-06-01,4.47363793
1993-07-01,4.60077076
1993-08-01,4.69434736
1993-09-01,4.84930506
1993-10-01,4.82288706
1993-11-01,4.86808462
1993-12-01,4.86025065
1994-01-01,4.84108104
1994-02-01,4.82773857
1994-03-01,4.78106563
1994-04-01,4.74344684
1994-05-01,4.7241576
1994-06-01,4.68980645
1994-07-01,4.63047567
1994-08-01,4.57838418
1994-09-01,4.55892405
1994-10-01,4.43951979
1994-11-01,4.37043726
1994-12-01,4.31955828
1995-01-01,4.27050674
1995-02-01,4.21552998
1995-03-01,4.18471005
1995-04-01,4.17322704
1995-05-01,4.14539419
1995-06-01,4.11599415
1995-07-01,4.11940729
1995-08-01,4.10456644
1995-09-01,4.10755638
1995-10-01,4.10578739
1995-11-01,4.11333595
1995-12-01,4.11091336
1996-01-01,4.15921277
1996-02-01,4.21036931
1996-03-01,4.28913146
1996-04-01,4.3632055
1996-05-01,4.43448772
1996-06-01,4.50364463
1996-07-01,4.55984225
1996-08-01,4.62031825
1996-09-01,4.74136361
1996-10-01,4.86352084
1996-11-01,4.95268225
1996-12-01,5.02441135
1997-01-01,5.23648105
1997-02-01,5.2758542
1997-03-01,5.27927535
1997-04-01,5.27063087
1997-05-01,5.25621076
1997-06-01,5.20260109
1997-07-01,5.14100842
1997-08-01,5.10214859
1997-09-01,5.02720521
1997-10-01,4.84837842
1997-11-01,4.76030557
1997-12-01,4.67960204
1998-01-01,4.62729708
1998-02-01,4.49243431
1998-03-01,4.33045749
1998-04-01,4.1377825
1998-05-01,3.95072884
1998-06-01,3.72177853
1998-07-01,3.58935769
1998-08-01,3.48650735
1998-09-01,3.35704475
1998-10-01,3.25568761
1998-11-01,3.19364577
1998-12-01,3.15210394
1999-01-01,3.09760073
1999-02-01,3.0240553
1999-03-01,2.94058289
1999-04-01,2.84714499
1999-05-01,2.7625353
1999-06-01,2.68049902
1999-07-01,2.62440694
1999-08-01,2.54430154
1999-09-01,2.47284226
1999-10-01,2.40579978
1999-11-01,2.31983539
1999-12-01,2.25793309
2000-01-01,2.01595742
2000-02-01,1.96006256
2000-03-01,1.89937913
2000-04-01,1.86316092
2000-05-01,1.81443801
2000-06-01,1.80133613
2000-07-01,1.78347849
2000-08-01,1.74629896
2000-09-01,1.71433304
2000-10-01,1.66547784
2000-11-01,1.60491255
2000-12-01,1.55659929
2001-01-01,1.51015018
2001-02-01,1.49192814
2001-03-01,1.51523656
2001-04-01,1.54079927
2001-05-01,1.59517881
2001-06-01,1.6387615
2001-07-01,1.66366438
2001-08-01,1.68383348
2001-09-01,1.70652052
2001-10-01,1.79408099
2001-11-01,1.89726703
2001-12-01,1.96156958
2002-01-01,2.03832664
2002-02-01,2.10265638
2002-03-01,2.17387088
2002-04-01,2.2606987
2002-05-01,2.33805749
2002-06-01,2.42272196
2002-07-01,2.49422971
2002-08-01,2.5656502
2002-09-01,2.68410206
2002-10-01,2.8275602
2002-11-01,2.96720638
2002-12-01,3.04265574
2003-01-01,3.15531883
2003-02-01,3.27584532
2003-03-01,3.38845534
2003-04-01,3.48925702
2003-05-01,3.58630811
2003-06-01,3.66544799
2003-07-01,3.71879241
2003-08-01,3.7343032
2003-09-01,3.79773178
2003-10-01,3.83752884
2003-11-01,3.85238111
2003-12-01,3.85516173
2004-01-01,3.88129067
2004-02-01,3.89605137
2004-03-01,3.93036719
2004-04-01,3.90281766
2004-05-01,3.90126018
2004-06-01,3.91662028
2004-07-01,3.87906118
2004-08-01,3.88219372
2004-09-01,3.8899544
2004-10-01,3.85954348
2004-11-01,3.84652329
2004-12-01,3.76516598
2005-01-01,3.7395491
2005-02-01,3.76626873
2005-03-01,3.80445882
2005-04-01,3.7924521
2005-05-01,3.81109094
2005-06-01,3.82340712
2005-07-01,3.79171921
2005-08-01,3.78748197
2005-09-01,3.79420119
2005-10-01,3.75928618
2005-11-01,3.70397505
2005-12-01,3.60626977
2006-01-01,3.55793219
2006-02-01,3.52278333
2006-03-01,3.50095099
2006-04-01,3.4322126
2006-05-01,3.39489527
2006-06-01,3.33947446
2006-07-01,3.29922336
2006-08-01,3.27480653
2006-09-01,3.24067247
